zero seven six thirteen twenty twentyseven thirtyfour thirtyfive fortytwo fortyone forty thirtynine fortysix fortyfive thirtyeight thirtyone thirtytwo twentyfive eighteen seventeen sixteen fifteen twentyone twenty nineteen eighteen eleven ten nine eight fourteen thirteen twelve five zero
24
zero three
five five
six six
seven seven
nine nine
eleven eleven
twelve twelve
thirteen thirteen
fourteen fourteen
fifteen fifteen
sixteen sixteen
eighteen eighteen
nineteen nineteen
twenty twenty
twentyfive twentyfive
thirtyone thirtyone
thirtytwo thirtytwo
thirtyfour thirtyfour
thirtyfive thirtyfive
thirtyeight thirtyseven thirtyeight
forty forty
fortytwo fortytwo
fortyfive fortyfive
fortysix fortysix
