a0 a97 a56 a3 a41 a8 a88 a25 a15 a71 a82 a39 a7 a10 a11 a59 a74 a69 a28 a9 a1 a9 a48 a94 a53 a51 a98 a4 a2 a77 a49 a27 a6 a55 a33 a30 a64 a44 a89 a75 a52 a13 a60 a61 a5 a24 a78 a8 a41 a83 a90 a99 a17 a0
39
a0 a65 a21
a1 a93 a18 a12 a80
a2 a43 a2
a3 a50
a5 a79
a6 a42
a7 a37
a8 a8
a9 a9
a11 a81 a86 a11
a15 a46
a17 a17
a24 a73
a25 a25
a28 a28
a33 a33
a39 a39
a44 a44
a48 a48
a51 a51
a52 a52
a53 a53
a55 a55
a56 a56
a59 a47 a59
a60 a60
a71 a71
a74 a74
a75 a75
a77 a77
a78 a78
a82 a82
a83 a83
a88 a88
a90 a90
a94 a87 a23 a94
a97 a97
a98 a98
a99 a99
