AAA AAB AAC ABC ABB ACB ACC ACD ADD ADC ADB ADA BAA BAB BAC BBC BBB BCB BCC BCD BDD BDC BDB BDA CAA CAB CAC CBC CBB CCB CCC CCD CDD CDC CDB CDA DAA DAB DAC DBC DBB DCB DCC DCD DDD DDC DDB DDA EAA EAB EAC EBC EBB ECB ECC ECD EDD EDC EDB EDA FAA FAB FAC FBC FBB FCB FCC FCD FDD FDC FDB FDA GAA GAB GAC GBC GBB GCB GCC GCD GDD GDC GDB GDA HAA HAB HAC HBC HBB HCB HCC HCD HDD HDC HDB HDA IAA IAB IAC IBC IBB ICB ICC ICD IDD IDC IDB IDA JAA JAB JAC JBC JBB JCB JCC JCD JDD JDC JDB JDA KAA KAB KAC KBC KBB KCB KCC KCD KDD KDC KDB KDA LAA LAB LBB LCB LCC LCD LBD LBC LAC LAB LAA KDA KCA KBA KAA JDA JCA JBA JAA IDA ICA IBA IAA HDA HCA HBA HAA GDA GCA GBA GAA FDA FCA FBA FAA EDA ECA EBA EAA DDA DCA DBA DAA CDA CCA CBA CAA BDA BCA BBA BAA ADA ACA ABA AAA
71
AAC AAD
ABB ABB
ABC ABC
ACB ACB
ACD ACD
ADD ADD
BAC BAD
BBB BBB
BBC BBC
BCB BCB
BCD BCD
BDD BDD
CAC CAD
CBB CBB
CBC CBC
CCB CCB
CCD CCD
CDD CDD
DAC DAD
DBB DBB
DBC DBC
DCB DCB
DCD DCD
DDD DDD
EAC EAD
EBB EBB
EBC EBC
ECB ECB
ECD ECD
EDD EDD
FAC FAD
FBB FBB
FBC FBC
FCB FCB
FCD FCD
FDD FDD
GAC GAD
GBB GBB
GBC GBC
GCB GCB
GCD GCD
GDD GDD
HAC HAD
HBB HBB
HBC HBC
HCB HCB
HCD HCD
HDD HDD
IAC IAD
IBB IBB
IBC IBC
ICB ICB
ICD ICD
IDD IDD
JAC JAD
JBB JBB
JBC JBC
JCB JCB
JCD JCD
JDD JDD
KAC KAD
KBB KBB
KBC KBC
KCB KCB
KCD KCD
KDD KDD
LAC LAD
LBB LBB
LBC LBC
LCB LCB
LCD LDD LCD
