Lesnoy GatesNorth Hudiksvall Blackpool Malaut Pingyi Gisborne Meerut Beveren Artur Portogruaro Stade Ishim Visitacion Glogovac Andijon Yangambi Zgorzelec Brentwood Hueytown Franceville Rutherglen Sun Winsford Sungurlu Lesnoy
24
Beveren Kundla
Hueytown Hueytown
Gisborne Dharmapuri Gisborne
Hudiksvall Hudiksvall
Visitacion Visitacion
Sungurlu Sungurlu
Rutherglen Rutherglen
Winsford Winsford
Sun Sun
Pingyi Pingyi
Malaut Malaut
Meerut Meerut
Blackpool Blackpool
Glogovac Glogovac
GatesNorth GatesNorth
Lesnoy Lesnoy
Brentwood Brentwood
Portogruaro Portogruaro
Ishim Ishim
Stade Stade
Artur Artur
Zgorzelec Zgorzelec
Yangambi Yangambi
Franceville Franceville
